序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价,timestamp
1,半导体,16853.4,4.7,1043.92,836.84,207.07,179,普冉股份,20.0,381.0,11:08:38
2,电子化学品,85822.0,4.33,112.23,93.28,18.95,40,兴福电子,20.0,75.6,11:08:38
3,其他电子,23004.3,3.42,101.91,77.06,24.85,34,百邦科技,19.99,40.16,11:08:38
4,光伏设备,10022.5,2.31,140.59,121.22,19.37,73,*ST泉为,10.32,16.99,11:08:38
5,元件,22506.5,2.26,265.6,259.87,5.73,62,风华高科,10.01,28.46,11:08:38
6,其他电源设备,7634.86,2.26,65.24,57.89,7.35,33,科威尔,16.28,58.58,11:08:38
7,通信设备,10791.7,2.23,571.72,595.69,-23.97,90,三旺通信,20.0,46.8,11:08:38
8,黑色家电,4877.84,1.74,8.91,8.99,-0.08,9,*ST高斯,5.0,16.37,11:08:38
9,工程机械,3704.22,1.42,43.86,39.93,3.93,36,徐工机械,10.03,10.97,11:08:38
10,计算机设备,4740.15,1.38,153.22,153.33,-0.11,83,同有科技,20.0,42.6,11:08:38
11,自动化设备,32033.9,1.38,166.8,152.85,13.96,93,鸿仕达,24.46,123.58,11:08:38
12,房地产,1998.07,1.33,62.36,53.44,8.92,87,上实发展,10.04,6.03,11:08:38
13,电力,2238.65,1.24,127.13,128.03,-0.91,109,桂冠电力,10.03,11.63,11:08:38
14,光学光电子,6016.48,1.24,162.97,155.28,7.68,107,秋田微,10.1,47.0,11:08:38
15,军工电子,15451.6,1.21,102.17,105.19,-3.01,63,中航光电,9.99,40.61,11:08:38
16,金属新材料,16543.2,1.21,35.16,26.48,8.68,34,春光集团,613.01,94.83,11:08:38
17,白色家电,8968.78,1.2,62.33,64.94,-2.61,45,海达尔,18.49,51.59,11:08:38
18,小金属,10280.6,1.17,149.31,140.74,8.57,29,长裕集团,564.07,92.04,11:08:38
19,消费电子,14001.3,1.1,228.05,208.3,19.74,95,信维通信,14.15,115.69,11:08:38
20,非金属材料,33021.4,1.06,14.47,14.65,-0.18,14,平安电工,6.37,99.69,11:08:38
21,塑料制品,11864.3,0.97,62.46,64.0,-1.54,79,沧州明珠,10.09,6.44,11:08:38
22,建筑材料,6455.05,0.96,61.62,61.55,0.07,73,山东玻纤,10.02,16.36,11:08:38
23,综合,2677.33,0.95,29.16,27.24,1.92,16,综艺股份,9.95,8.62,11:08:38
24,专用设备,8699.12,0.95,126.13,126.65,-0.51,199,深科达,20.0,70.31,11:08:38
25,军工装备,2711.98,0.93,142.96,162.15,-19.19,83,*ST航图,15.4,14.61,11:08:38
26,风电设备,5983.2,0.82,40.04,49.98,-9.93,32,飞沃科技,10.7,258.69,11:08:38
27,互联网电商,10011.0,0.8,20.65,19.63,1.02,19,赛维时代,9.47,23.7,11:08:38
28,养殖业,3072.65,0.77,22.91,16.39,6.51,36,天邦食品,9.69,2.83,11:08:38
29,电网设备,7931.47,0.77,130.66,139.35,-8.69,138,ST合纵,11.43,3.12,11:08:38
30,家居用品,4684.6,0.75,20.25,21.55,-1.3,98,尚品宅配,19.99,17.59,11:08:38
31,包装印刷,5177.48,0.71,27.92,29.19,-1.28,46,翔港科技,10.01,23.07,11:08:38
32,农化制品,5690.54,0.67,49.44,53.54,-4.1,61,澄星股份,10.03,16.23,11:08:38
33,教育,4623.61,0.65,5.07,4.73,0.34,16,*ST高科,5.01,10.9,11:08:38
34,通信服务,3427.11,0.61,106.51,100.08,6.42,45,吴通控股,11.62,6.15,11:08:38
35,化学制品,8135.06,0.59,75.94,78.39,-2.45,176,富淼科技,19.99,39.08,11:08:38
36,证券,1485.07,0.59,80.38,66.99,13.4,50,锦龙股份,5.88,10.98,11:08:38
37,石油加工贸易,4209.6,0.58,14.95,16.77,-1.82,27,康普顿,10.01,18.68,11:08:38
38,通用设备,10478.5,0.55,176.26,185.3,-9.04,250,海鸥股份,10.02,18.56,11:08:38
39,保险,2110.7,0.52,24.17,23.29,0.88,5,中国人寿,1.21,37.76,11:08:38
40,厨卫电器,6914.04,0.51,2.72,2.42,0.3,9,*ST帅电,2.53,18.64,11:08:38
41,建筑装饰,4871.21,0.45,76.1,73.08,3.02,146,金螳螂,10.0,7.48,11:08:38
42,煤炭开采加工,2932.99,0.44,21.46,24.13,-2.67,34,昊华能源,2.62,10.96,11:08:38
43,医疗器械,12378.5,0.44,46.02,48.0,-1.98,139,东星医疗,12.0,35.27,11:08:38
44,其他社会服务,22640.0,0.43,17.82,19.15,-1.33,82,誉帆科技,7.65,54.59,11:08:38
45,油气开采及服务,1910.39,0.42,9.98,12.63,-2.64,19,*ST准油,5.03,8.35,11:08:38
46,小家电,4785.53,0.41,5.82,8.28,-2.46,25,利仁科技,10.01,41.32,11:08:38
47,多元金融,1273.8,0.38,17.44,20.13,-2.68,26,*ST九鼎,5.04,9.8,11:08:38
48,工业金属,5029.65,0.36,94.77,105.8,-11.03,56,中金岭南,10.06,8.75,11:08:38
49,燃气,2020.3,0.34,9.54,11.44,-1.9,27,胜通能源,10.0,54.99,11:08:38
50,生物制品,6469.68,0.27,20.57,23.01,-2.44,54,诺思兰德,4.8,30.55,11:08:38
51,文化传媒,3051.92,0.23,74.26,75.93,-1.67,85,三人行,6.48,55.37,11:08:38
52,生物制品,6466.56,0.22,20.34,22.93,-2.59,54,诺思兰德,4.91,30.58,11:08:38
53,软件开发,2242.76,0.19,125.77,117.17,8.59,139,科创信息,7.52,14.59,11:08:38
54,化学纤维,4521.31,0.17,18.14,18.96,-0.82,29,宝丽迪,13.61,79.29,11:08:38
55,轨交设备,1181.52,0.17,9.86,12.32,-2.46,30,永贵电器,9.08,27.28,11:08:38
56,电池,23938.8,0.14,257.94,282.23,-24.3,105,骄成超声,11.97,158.18,11:08:38
57,白酒,2280.44,0.14,24.53,28.78,-4.25,20,今世缘,3.45,29.1,11:08:38
58,种植业与林业,5004.98,0.11,11.69,12.76,-1.07,30,农发种业,3.82,7.34,11:08:38
59,化学制药,6764.8,0.09,67.77,76.57,-8.81,159,南新制药,16.72,10.26,11:08:38
60,电机,3977.82,0.07,19.46,22.63,-3.17,26,华阳智能,5.33,61.41,11:08:38
61,IT服务,14806.7,0.07,170.12,194.6,-24.48,130,农尚环境,20.04,13.42,11:08:38
62,化学原料,3650.16,0.06,30.77,33.49,-2.72,59,金瑞矿业,6.8,24.67,11:08:38
63,纺织制造,2622.05,0.05,10.39,12.33,-1.94,33,富春染织,10.03,19.97,11:08:38
64,影视院线,1558.36,-0.04,12.95,16.89,-3.94,20,中国电影,3.41,14.26,11:08:38
65,零售,2061.78,-0.1,21.48,23.85,-2.37,72,美凯龙,6.08,2.79,11:08:38
66,服装家纺,3312.35,-0.11,18.73,19.83,-1.1,75,真爱美家,7.59,69.18,11:08:38
67,能源金属,45949.1,-0.13,61.98,72.22,-10.24,12,永杉锂业,2.79,24.66,11:08:38
68,钢铁,1830.99,-0.14,32.7,32.7,0.0,44,包钢股份,3.61,2.87,11:08:38
69,中药,3327.28,-0.17,22.47,25.25,-2.78,68,步长制药,3.17,16.59,11:08:38
70,环保设备,1614.61,-0.21,22.82,26.73,-3.91,29,蓝盾光电,12.79,28.14,11:08:38
71,饮料制造,5245.92,-0.22,11.15,11.93,-0.79,46,国投中鲁,3.86,24.22,11:08:38
72,医药商业,5037.26,-0.27,6.81,7.85,-1.04,32,益丰药房,5.9,23.53,11:08:38
73,汽车整车,3213.79,-0.28,29.16,35.25,-6.09,23,众泰汽车,6.44,2.81,11:08:38
74,汽车零部件,7225.74,-0.28,145.61,166.93,-21.31,268,天普股份,10.0,113.43,11:08:38
75,汽车服务及其他,1175.85,-0.32,3.71,4.29,-0.57,25,绿通科技,3.51,41.57,11:08:38
76,银行,1304.26,-0.48,28.08,41.88,-13.8,84,齐鲁银行,1.43,6.37,11:08:38
77,公路铁路运输,1379.48,-0.51,4.82,5.21,-0.39,32,富临运业,2.02,12.61,11:08:38
78,食品加工制造,5209.07,-0.54,15.64,20.01,-4.37,66,交大昂立,10.08,6.55,11:08:38
79,贸易,3166.6,-0.54,8.68,10.52,-1.84,15,怡亚通,6.3,7.26,11:08:38
80,物流,5829.85,-0.57,10.13,13.32,-3.19,50,新宁物流,2.19,4.66,11:08:38
81,医疗服务,18661.4,-0.6,31.71,36.83,-5.12,56,百诚医药,4.1,62.96,11:08:38
82,农产品加工,4087.44,-0.66,10.23,12.09,-1.85,43,祖名股份,3.02,23.56,11:08:38
83,橡胶制品,16115.7,-0.66,5.92,6.03,-0.11,22,彤程新材,3.46,57.5,11:08:38
84,造纸,2421.57,-1.03,5.92,7.92,-2.0,24,博汇纸业,2.22,6.45,11:08:38
85,旅游及酒店,3068.79,-1.05,5.07,8.96,-3.89,35,*ST西旅,2.61,7.85,11:08:38
86,游戏,10640.3,-1.33,38.43,50.47,-12.04,24,*ST大晟,1.0,4.02,11:08:38
87,美容护理,5628.53,-1.53,5.43,8.7,-3.27,33,*ST美谷,2.97,3.47,11:08:38
88,机场航运,2019.48,-1.67,6.59,11.82,-5.22,13,上海机场,-0.55,27.04,11:08:38
89,贵金属,6316.26,-1.69,49.58,60.22,-10.64,13,四川黄金,0.91,59.73,11:08:38
90,港口航运,1276.16,-2.15,21.73,29.18,-7.44,36,珠海港,-0.19,5.26,11:08:38
