序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价,timestamp
1,电子化学品,96407.2,2.06,161.98,150.81,11.16,40,菲沃泰,15.87,42.86,11:46:24
2,半导体,18323.1,1.99,1419.95,1264.42,155.54,179,凯德石英,22.2,72.5,11:46:24
3,电池,23423.8,1.34,225.97,194.42,31.55,105,理奇智能,13.78,79.99,11:46:24
4,能源金属,40385.6,1.25,51.98,46.27,5.71,12,盛新锂能,4.26,50.9,11:46:24
5,油气开采及服务,1926.59,1.01,33.68,24.29,9.39,19,ST洲际,5.0,2.94,11:46:24
6,非金属材料,33308.7,0.94,17.03,15.64,1.38,14,三祥新材,6.5,44.27,11:46:24
7,白酒,2198.69,0.71,38.9,38.79,0.11,20,金徽酒,10.03,20.3,11:46:24
8,光伏设备,9902.48,0.62,179.76,160.78,18.97,73,欧晶科技,10.02,24.49,11:46:24
9,其他电子,23839.2,0.58,68.94,72.63,-3.68,34,可立克,10.0,30.35,11:46:24
10,金属新材料,16232.3,0.3,23.6,25.08,-1.48,34,有研复材,8.8,34.74,11:46:24
11,饮料制造,5247.67,0.18,22.54,20.84,1.7,46,威龙股份,10.0,13.2,11:46:24
12,小金属,9455.51,0.12,110.52,111.32,-0.8,29,国城矿业,5.07,42.04,11:46:24
13,化学制品,8136.01,-0.07,116.14,111.33,4.81,176,元力股份,12.56,19.99,11:46:24
14,环保设备,1610.56,-0.1,13.28,14.06,-0.78,29,法尔胜,10.02,12.85,11:46:24
15,石油加工贸易,4073.16,-0.18,15.35,16.47,-1.12,27,和顺石油,9.99,53.06,11:46:24
16,燃气,2085.34,-0.19,14.83,19.17,-4.34,27,贵州燃气,5.68,10.24,11:46:24
17,光学光电子,6045.46,-0.26,150.42,160.26,-9.84,107,万润科技,9.98,19.28,11:46:24
18,自动化设备,33550.6,-0.27,193.03,197.27,-4.24,95,锐翔智能,20.23,298.18,11:46:24
19,元件,23205.9,-0.33,270.32,290.71,-20.39,62,法拉电子,10.0,162.36,11:46:24
20,通信设备,10841.2,-0.5,551.51,545.9,5.61,90,云里物里,10.57,22.29,11:46:24
21,风电设备,5773.43,-0.56,30.78,36.68,-5.91,32,和展能源,10.08,4.37,11:46:24
22,贸易,3057.34,-0.57,4.29,5.43,-1.14,15,凯瑞德,10.07,7.76,11:46:24
23,橡胶制品,15922.3,-0.57,9.7,10.21,-0.51,22,龙星科技,10.02,6.7,11:46:24
24,银行,1286.43,-0.61,34.51,51.83,-17.32,84,光大银行,0.32,3.13,11:46:24
25,公路铁路运输,1367.7,-0.67,6.86,9.08,-2.22,32,大众交通,10.0,5.06,11:46:24
26,食品加工制造,5067.39,-0.68,21.84,25.35,-3.51,66,黑芝麻,10.06,5.47,11:46:24
27,港口航运,1253.19,-0.68,31.15,24.1,7.05,36,招商南油,4.99,5.26,11:46:24
28,黑色家电,4819.63,-0.72,6.19,7.31,-1.12,9,创维数字,2.78,12.93,11:46:24
29,白色家电,8983.78,-0.76,50.91,55.01,-4.1,45,海达尔,13.96,83.19,11:46:24
30,证券,1437.24,-0.82,47.47,60.32,-12.85,50,华安证券,6.71,6.68,11:46:24
31,专用设备,8548.09,-0.83,140.77,144.8,-4.02,199,利和兴,20.0,36.36,11:46:24
32,建筑材料,6209.07,-0.85,56.05,58.36,-2.31,73,友邦吊顶,6.86,84.69,11:46:24
33,军工电子,14674.8,-0.85,69.41,73.85,-4.44,63,铖昌科技,3.74,147.98,11:46:24
34,塑料制品,11827.8,-0.96,56.88,59.14,-2.26,79,国风新材,10.03,10.53,11:46:24
35,汽车服务及其他,1146.91,-0.96,6.4,9.88,-3.48,25,绿通科技,20.0,54.12,11:46:24
36,包装印刷,5073.08,-1.0,26.47,25.98,0.49,46,大胜达,10.01,17.7,11:46:24
37,化学原料,3513.15,-1.04,29.29,38.79,-9.5,59,三孚股份,10.01,53.76,11:46:24
38,农化制品,5284.94,-1.06,29.48,33.82,-4.34,61,*ST辉丰,3.36,2.46,11:46:24
39,军工装备,2543.98,-1.07,99.07,111.45,-12.38,83,航新科技,7.51,21.04,11:46:24
40,房地产,1893.67,-1.09,61.41,62.91,-1.5,87,福星股份,10.14,2.28,11:46:24
41,计算机设备,4642.05,-1.09,113.69,116.51,-2.82,83,兆日科技,11.11,12.0,11:46:24
42,生物制品,6223.8,-1.12,18.53,22.95,-4.41,54,四环生物,10.0,3.41,11:46:24
43,通用设备,10484.3,-1.13,212.13,231.66,-19.52,250,汉钟精机,10.02,35.04,11:46:24
44,纺织制造,2507.82,-1.14,6.53,7.19,-0.67,33,兴业科技,3.93,14.54,11:46:24
45,多元金融,1211.35,-1.16,10.67,14.71,-4.04,26,建元信托,2.55,3.22,11:46:24
46,保险,1928.94,-1.17,13.04,16.5,-3.45,5,中国人寿,-0.84,34.42,11:46:24
47,美容护理,5302.55,-1.18,6.66,6.64,0.02,33,嘉亨家化,5.39,45.78,11:46:24
48,工业金属,4664.23,-1.2,82.22,101.56,-19.34,56,华峰铝业,3.25,19.07,11:46:24
49,建筑装饰,4705.33,-1.21,68.33,87.92,-19.59,146,柏诚股份,6.11,32.12,11:46:24
50,化学纤维,4180.89,-1.25,14.36,16.54,-2.18,29,新凤鸣,3.35,17.25,11:46:24
51,工程机械,3510.98,-1.26,15.33,18.71,-3.37,36,福事特,3.32,46.05,11:46:24
52,中药,3173.75,-1.27,14.19,18.67,-4.48,68,珍宝岛,3.57,7.54,11:46:24
53,医疗服务,17891.8,-1.29,31.28,43.07,-11.79,56,博腾股份,6.62,15.63,11:46:24
54,物流,5560.91,-1.31,7.94,11.06,-3.13,50,海晨股份,8.07,23.02,11:46:24
55,消费电子,14062.8,-1.31,203.07,263.11,-60.04,95,奥海科技,6.06,61.28,11:46:24
56,服装家纺,3197.76,-1.34,14.61,15.47,-0.85,75,九牧王,4.21,11.87,11:46:24
57,化学制药,6435.9,-1.37,60.71,77.06,-16.36,159,奥赛康,9.98,17.74,11:46:24
58,旅游及酒店,2920.15,-1.38,3.73,6.68,-2.95,35,张家界,2.82,7.66,11:46:24
59,小家电,4774.77,-1.45,8.25,10.12,-1.87,25,利仁科技,5.29,77.08,11:46:24
60,其他社会服务,21595.4,-1.46,14.85,16.97,-2.13,82,苏试试验,3.99,17.45,11:46:24
61,造纸,2286.73,-1.48,5.45,8.35,-2.9,24,岳阳林纸,2.34,4.37,11:46:24
62,轨交设备,1143.08,-1.49,7.35,11.73,-4.38,30,祥和实业,0.97,10.45,11:46:24
63,家居用品,4553.33,-1.52,20.82,23.07,-2.26,98,致欧科技,7.0,19.12,11:46:24
64,环境治理,4588.7,-1.52,30.48,39.74,-9.26,112,*ST动力,7.07,1.97,11:46:24
65,农产品加工,3891.5,-1.53,5.66,8.8,-3.14,43,粤海饲料,3.48,9.21,11:46:24
66,机场航运,1896.71,-1.59,4.66,8.38,-3.73,13,上海机场,-0.2,25.66,11:46:24
67,医疗器械,11819.2,-1.61,38.21,47.81,-9.6,139,之江生物,6.95,21.69,11:46:24
68,养殖业,2916.9,-1.61,8.94,13.04,-4.1,36,*ST福成,1.8,3.4,11:46:24
69,钢铁,1678.11,-1.61,18.75,25.49,-6.74,44,大中矿业,4.59,41.92,11:46:24
70,汽车零部件,7053.66,-1.63,143.38,187.46,-44.08,269,密封科技,20.01,31.01,11:46:24
71,煤炭开采加工,2890.72,-1.68,20.82,26.86,-6.04,34,晋控煤业,1.97,18.08,11:46:24
72,电网设备,7938.35,-1.71,132.98,176.6,-43.62,139,金利华电,20.0,36.72,11:46:24
73,厨卫电器,6601.47,-1.75,0.81,1.46,-0.65,9,老板电器,0.23,17.5,11:46:24
74,医药商业,4769.15,-1.75,10.77,12.72,-1.95,32,重药控股,0.31,6.54,11:46:24
75,其他电源设备,7770.06,-1.8,50.6,67.78,-17.18,33,新雷能,2.04,31.97,11:46:24
76,IT服务,14644.3,-1.83,163.67,206.34,-42.67,130,赛意信息,11.41,35.53,11:46:24
77,影视院线,1511.82,-1.87,11.53,16.03,-4.49,20,博纳影业,3.6,9.78,11:46:24
78,汽车整车,2986.38,-1.88,19.39,35.27,-15.87,23,中集车辆,-0.48,8.28,11:46:24
79,零售,1946.35,-1.89,23.27,30.47,-7.2,72,合百集团,10.05,9.53,11:46:24
80,游戏,10173.1,-2.01,21.87,32.86,-11.0,24,名臣健康,1.65,25.9,11:46:24
81,软件开发,2187.23,-2.08,82.99,112.53,-29.54,139,广立微,6.15,114.75,11:46:24
82,通信服务,3426.84,-2.14,82.88,125.28,-42.39,45,*ST元道,20.04,5.81,11:46:24
83,种植业与林业,4610.57,-2.17,8.33,11.61,-3.28,30,宏辉果蔬,0.48,12.53,11:46:24
84,电机,4069.92,-2.22,18.47,26.63,-8.16,26,华阳智能,4.9,87.95,11:46:24
85,互联网电商,9700.63,-2.26,11.69,15.73,-4.04,19,新迅达,7.2,32.9,11:46:24
86,教育,4406.98,-2.36,3.39,5.67,-2.28,16,*ST高科,1.56,13.71,11:46:24
87,综合,2499.08,-2.36,12.82,19.95,-7.13,16,综艺股份,-0.85,6.96,11:46:24
88,贵金属,5294.62,-2.7,45.28,62.02,-16.75,13,四川黄金,-0.28,56.53,11:46:24
89,文化传媒,2946.99,-2.71,68.72,105.77,-37.06,85,三人行,2.33,62.93,11:46:24
90,电力,2215.0,-4.49,150.44,269.37,-118.93,109,上海电力,3.25,19.05,11:46:24
